municipio_norm,assoc
ABDON BATISTA,AMPLASC
ABELARDO LUZ,AMAI
AGROLANDIA,AMAVI
AGRONOMICA,AMAVI
AGUA DOCE,AMMOC
AGUAS DE CHAPECO,AMOSC
AGUAS FRIAS,AMOSC
AGUAS MORNAS,GRANFPOLIS
ALFREDO WAGNER,GRANFPOLIS
ALTO BELA VISTA,AMAUC
ANCHIETA,AMEOSC
ANGELINA,GRANFPOLIS
ANITA GARIBALDI,AMURES
ANITAPOLIS,GRANFPOLIS
ANTONIO CARLOS,GRANFPOLIS
APIUNA,AMVE
ARABUTA,AMAUC
ARAQUARI,AMUNESC
ARARANGUA,AMESC
ARMAZEM,AMUREL
ARROIO TRINTA,AMARP
ARVOREDO,AMOSC
ASCURRA,AMVE
ATALANTA,AMAVI
AURORA,AMAVI
BALNEARIO ARROIO DO SILVA,AMESC
BALNEARIO BARRA DO SUL,AMUNESC
BALNEARIO CAMBORIU,AMFRI
BALNEARIO GAIVOTA,AMESC
BALNEARIO PICARRAS,AMFRI
BALNEARIO RINCAO,AMREC
BANDEIRANTE,AMEOSC
BARRA BONITA,AMEOSC
BARRA VELHA,AMVALI
BELA VISTA DO TOLDO,AMPLANORTE
BELMONTE,AMEOSC
BENEDITO NOVO,AMVE
BIGUACU,GRANFPOLIS
BLUMENAU,AMVE
BOCAINA DO SUL,AMURES
BOM JARDIM DA SERRA,AMURES
BOM JESUS,AMAI
BOM JESUS DO OESTE,AMERIOS
BOM RETIRO,AMURES
BOMBINHAS,AMFRI
BOTUVERA,AMVE
BRACO DO NORTE,AMUREL
BRACO DO TROMBUDO,AMAVI
BRUNOPOLIS,AMPLASC
BRUSQUE,AMVE
CACADOR,AMARP
CAIBI,AMERIOS
CALMON,AMARP
CAMBORIU,AMFRI
CAMPO ALEGRE,AMUNESC
CAMPO BELO DO SUL,AMURES
CAMPO ERE,AMERIOS
CAMPOS NOVOS,AMPLASC
CANELINHA,GRANFPOLIS
CANOINHAS,AMPLANORTE
CAPAO ALTO,AMURES
CAPINZAL,AMMOC
CAPIVARI DE BAIXO,AMUREL
CATANDUVAS,AMMOC
CAXAMBU DO SUL,AMOSC
CELSO RAMOS,AMPLASC
CERRO NEGRO,AMURES
CHAPADAO DO LAGEADO,AMAVI
CHAPECO,AMOSC
COCAL DO SUL,AMREC
CONCORDIA,AMAUC
CORDILHEIRA ALTA,AMOSC
CORONEL FREITAS,AMOSC
CORONEL MARTINS,AMNOROESTE
CORREIA PINTO,AMURES
CORUPA,AMVALI
CRICIUMA,AMREC
CUNHA PORA,AMERIOS
CUNHATAI,AMERIOS
CURITIBANOS,AMURC
DESCANSO,AMEOSC
DIONISIO CERQUEIRA,AMEOSC
DONA EMMA,AMAVI
DOUTOR PEDRINHO,AMVE
ENTRE RIOS,AMAI
ERMO,AMESC
ERVAL VELHO,AMMOC
FAXINAL DOS GUEDES,AMAI
FLOR DO SERTAO,AMERIOS
FLORIANOPOLIS,GRANFPOLIS
FORMOSA DO SUL,AMOSC
FORQUILHINHA,AMREC
FRAIBURGO,AMARP
FREI ROGERIO,AMURC
GALVAO,AMNOROESTE
GAROPABA,GRANFPOLIS
GARUVA,AMUNESC
GASPAR,AMVE
